fips,feat,event_name,event_date,event_date_centered,target_before,target_diff_actual,target_diff_expected,intervention_effect,intervention_percent,neighbor_count,matched_diff_avg,matched_diff_std,change_in_stddevs,significant,cfips,mmwr_week,pblack,pfem,p65old,phisp,unemployment_rate_2018,ses,year,time,nw_var_2019,svar,lnurban,repvshare,ses3,anx_z,dep_z,ang_z
37147,Anxiety,First Covid Death,2020-04-10,2020-04-05,0.5035597114048751,-0.19817193943418593,0.2899632549969583,0.015424516973730873,5.32,1,-0.2135964564079168,0.0,inf,True,37147,9.0,36.194236755371094,52.90703582763672,5.603199005126953,5.825852394104004,4.199999999999992,-0.32262712717056274,2019.5047619047618,0.9965776889629308,0.07969063520431519,0.055923379957675934,1.7637344598770142,44.51372146606445,1,-0.10744182367620635,-0.15059570858388074,-0.08678458802224624
37147,Depression,First Covid Death,2020-04-10,2020-04-05,0.5912483051646495,-0.06772976658098528,0.378793791145444,0.14472474743822028,38.21,1,-0.21245451401920556,0.0,inf,True,37147,9.0,36.194236755371094,52.90703582763672,5.603199005126953,5.825852394104004,4.199999999999992,-0.32262712717056274,2019.5047619047618,0.9965776889629308,0.07969063520431519,0.055923379957675934,1.7637344598770142,44.51372146606445,1,-0.10744182367620635,-0.15059570858388074,-0.08678458802224624
12001,Anxiety,First Covid Death,2020-04-21,2020-04-19,0.9291196555702464,-0.0925578704148945,0.6942340108464135,0.1423277743089385,20.5,9,-0.23488564472383297,0.14419638309719726,1.6920276436099797,False,12001,1.0,21.940847396850586,51.604461669921875,6.0781331062316895,9.021808624267578,3.3000000000000065,0.9622909426689148,2019.5047619047618,0.9965776889629308,0.031083784997463226,0.07034235447645187,1.7582918405532837,35.743736267089844,3,-0.052041449455455656,-0.047677781499390094,-0.12896738335312832
12001,Depression,First Covid Death,2020-04-21,2020-04-19,0.7788652423336204,-0.15490914342300277,0.5728254459573775,0.05113065295324015,8.93,9,-0.20603979637624292,0.16759476021627384,0.485328257545913,False,12001,1.0,21.940847396850586,51.604461669921875,6.0781331062316895,9.021808624267578,3.3000000000000065,0.9622909426689148,2019.5047619047618,0.9965776889629308,0.031083784997463226,0.07034235447645187,1.7582918405532837,35.743736267089844,3,-0.052041449455455656,-0.047677781499390094,-0.12896738335312832
06077,Anxiety,First Covid Death,2020-03-18,2020-03-15,0.31834044387581273,0.17105381665995423,0.5287760956951145,-0.03938183515934757,-7.45,7,0.2104356518193018,0.14806048210421027,-0.4381304079139249,False,6077,34.0,9.698163986206055,50.22365951538086,5.710447311401367,40.167076110839844,6.0,0.11161021888256073,2019.5047619047618,0.9965776889629308,0.041318852454423904,-0.38056033849716187,2.394108772277832,,2,0.15966024809694362,0.09756418651502047,0.09496594218404165
06077,Depression,First Covid Death,2020-03-18,2020-03-15,0.14619197887865557,0.27470457754607247,0.5768553709016457,-0.15595881447691767,-27.04,7,0.43066339202299014,0.20835425214986256,-0.8165729951409316,False,6077,34.0,9.698163986206055,50.22365951538086,5.710447311401367,40.167076110839844,6.0,0.11161021888256073,2019.5047619047618,0.9965776889629308,0.041318852454423904,-0.38056033849716187,2.394108772277832,,2,0.15966024809694362,0.09756418651502047,0.09496594218404165
13135,Anxiety,First Covid Death,2020-03-20,2020-03-15,0.15785672620587282,0.2801123358096594,0.3590226197887686,0.07894644222676361,21.99,4,0.20116589358289577,0.12094899344912644,0.43359739021305266,False,13135,25.0,28.148263931274414,50.95757293701172,4.110403537750244,20.533435821533203,3.5,0.39375579357147217,2019.5047619047618,0.9965776889629308,0.6457608342170715,0.755214512348175,3.766880750656128,40.20948791503906,2,-0.19733386866726157,-0.2360868077858218,-0.09196586006520582
13135,Depression,First Covid Death,2020-03-20,2020-03-15,0.025709368137015815,0.22057189056519697,0.2595307878411834,-0.013249529138970595,-5.11,3,0.23382141970416756,0.021379757834534448,-0.1055741966383413,False,13135,25.0,28.148263931274414,50.95757293701172,4.110403537750244,20.533435821533203,3.5,0.39375579357147217,2019.5047619047618,0.9965776889629308,0.6457608342170715,0.755214512348175,3.766880750656128,40.20948791503906,2,-0.19733386866726157,-0.2360868077858218,-0.09196586006520582
37081,Anxiety,First Covid Death,2020-03-31,2020-03-29,0.7995436418327118,-0.40979107349140664,0.5470588220756955,-0.15730625373439033,-28.75,5,-0.2524848197570163,0.08314153095395516,-1.0201585928004124,False,37081,30.0,35.41645812988281,52.537559509277344,6.761063098907471,7.487367153167725,4.100000000000007,0.2830258905887604,2019.5047619047618,0.9965776889629308,1.987802267074585,-0.8574908971786499,2.8323874473571777,37.71503829956055,2,-0.1067777144944384,-0.13030160346755848,-0.028427646104024634
37081,Depression,First Covid Death,2020-03-31,2020-03-29,0.8384393035920854,-0.17649634674857317,0.7976349267241324,-0.13569196988062016,-17.01,5,-0.04080437686795304,0.10395134264653201,-1.4652186465722248,False,37081,30.0,35.41645812988281,52.537559509277344,6.761063098907471,7.487367153167725,4.100000000000007,0.2830258905887604,2019.5047619047618,0.9965776889629308,1.987802267074585,-0.8574908971786499,2.8323874473571777,37.71503829956055,2,-0.1067777144944384,-0.13030160346755848,-0.028427646104024634
